experiment,label,frame,time_s,joint_linear_ke,bend_m,q1_m,q2_m,current_residual_m,max_residual_m,drive_stroke_m
substeps,1 substeps,60,1.00000000,100000.00000000,0.0178160042,0.0162318628,0.0019687174,0.0015556812,0.0018442729,-0.0000000076
substeps,1 substeps,120,2.00000000,100000.00000000,0.0349158153,0.0333223715,0.0019642354,0.0015789214,0.0018442729,-0.0000000076
substeps,1 substeps,240,4.00000000,100000.00000000,0.0677844506,0.0661769137,0.0019522782,0.0016423980,0.0018442729,-0.0000000076
substeps,3 substeps,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
substeps,3 substeps,30,0.50000000,100000.00000000,0.0093062137,0.0077510844,0.0019413064,0.0015240854,0.0019547952,-0.0000000076
substeps,3 substeps,60,1.00000000,100000.00000000,0.0182316014,0.0166715048,0.0019385309,0.0015330621,0.0019547952,-0.0000000076
substeps,3 substeps,120,2.00000000,100000.00000000,0.0357314664,0.0341616683,0.0019341460,0.0015574749,0.0019547952,-0.0000000076
substeps,3 substeps,240,4.00000000,100000.00000000,0.0693493380,0.0677644834,0.0019228057,0.0016245473,0.0019547952,-0.0000000076
substeps,12 substeps,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
substeps,12 substeps,30,0.50000000,100000.00000000,0.0092940387,0.0077538495,0.0019227853,0.0015092894,0.0020351676,-0.0000000076
substeps,12 substeps,60,1.00000000,100000.00000000,0.0182077217,0.0166489016,0.0019369686,0.0015318268,0.0020351676,-0.0000000076
substeps,12 substeps,120,2.00000000,100000.00000000,0.0356921304,0.0341243632,0.0019316406,0.0015554721,0.0020351676,-0.0000000076
substeps,12 substeps,240,4.00000000,100000.00000000,0.0692697004,0.0676877052,0.0019192664,0.0016217398,0.0020351676,-0.0000000076
stiffness,k=18,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
stiffness,k=18,30,0.50000000,100000.00000000,0.0090911636,0.0075034378,0.0019817310,0.0015557520,0.0018442729,-0.0000000076
stiffness,k=18,60,1.00000000,100000.00000000,0.0178160042,0.0162318628,0.0019687174,0.0015556812,0.0018442729,-0.0000000076
stiffness,k=18,120,2.00000000,100000.00000000,0.0349158153,0.0333223715,0.0019642354,0.0015789214,0.0018442729,-0.0000000076
stiffness,k=18,240,4.00000000,100000.00000000,0.0677844506,0.0661769137,0.0019522782,0.0016423980,0.0018442729,-0.0000000076
stiffness,k=18,480,8.00000000,100000.00000000,0.1288948256,0.1272723228,0.0019210954,0.0017998337,0.0018442729,-0.0000000076
stiffness,k=18,600,10.00000000,100000.00000000,0.1574590117,0.1558338404,0.0019033857,0.0018801494,0.0018801494,-0.0000000076
stiffness,k=180,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
stiffness,k=180,30,0.50000000,100000.00000000,0.0088353575,0.0072309617,0.0019930548,0.0015529186,0.0018438257,-0.0000000076
stiffness,k=180,60,1.00000000,100000.00000000,0.0166717340,0.0150532145,0.0019924992,0.0015491294,0.0018438257,-0.0000000076
stiffness,k=180,120,2.00000000,100000.00000000,0.0303487479,0.0286907516,0.0020104591,0.0015617785,0.0018438257,-0.0000000076
stiffness,k=180,240,4.00000000,100000.00000000,0.0512278537,0.0495113954,0.0020362574,0.0015902485,0.0018438257,-0.0000000076
stiffness,k=180,480,8.00000000,100000.00000000,0.0758409019,0.0740578473,0.0020647249,0.0016353114,0.0018438257,-0.0000000076
stiffness,k=180,600,10.00000000,100000.00000000,0.0828802261,0.0810785443,0.0020725317,0.0016500003,0.0018438257,-0.0000000076
stiffness,k=600,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
stiffness,k=600,30,0.50000000,100000.00000000,0.0082264659,0.0065823835,0.0020211206,0.0015484481,0.0018428173,-0.0000000076
stiffness,k=600,60,1.00000000,100000.00000000,0.0141783146,0.0124882013,0.0020441732,0.0015394247,0.0018428173,-0.0000000076
stiffness,k=600,120,2.00000000,100000.00000000,0.0219375809,0.0201762747,0.0020884180,0.0015404813,0.0018428173,-0.0000000076
stiffness,k=600,240,4.00000000,100000.00000000,0.0286643674,0.0268417019,0.0021264192,0.0015426417,0.0018428173,-0.0000000076
stiffness,k=600,480,8.00000000,100000.00000000,0.0313993819,0.0295517892,0.0021418876,0.0015439207,0.0018428173,-0.0000000076
stiffness,k=600,600,10.00000000,100000.00000000,0.0316004346,0.0297509488,0.0021430894,0.0015440585,0.0018428173,-0.0000000076
damping,c=0,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
damping,c=0,30,0.50000000,100000.00000000,0.0090937566,0.0075061368,0.0019816475,0.0015557566,0.0018444122,-0.0000000076
damping,c=0,60,1.00000000,100000.00000000,0.0178213194,0.0162373520,0.0019685889,0.0015556737,0.0018444122,-0.0000000076
damping,c=0,120,2.00000000,100000.00000000,0.0349271005,0.0333337709,0.0019641011,0.0015788916,0.0018444122,-0.0000000076
damping,c=0,240,4.00000000,100000.00000000,0.0678087298,0.0662012994,0.0019521186,0.0016423917,0.0018444122,-0.0000000076
damping,c=0,480,8.00000000,100000.00000000,0.1289479363,0.1273257583,0.0019206906,0.0017997427,0.0018444122,-0.0000000076
damping,c=0,600,10.00000000,100000.00000000,0.1575282706,0.1559034288,0.0019029764,0.0018800794,0.0018800794,-0.0000000076
damping,c=0.35,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
damping,c=0.35,30,0.50000000,100000.00000000,0.0090911636,0.0075034378,0.0019817310,0.0015557520,0.0018442729,-0.0000000076
damping,c=0.35,60,1.00000000,100000.00000000,0.0178160042,0.0162318628,0.0019687174,0.0015556812,0.0018442729,-0.0000000076
damping,c=0.35,120,2.00000000,100000.00000000,0.0349158153,0.0333223715,0.0019642354,0.0015789214,0.0018442729,-0.0000000076
damping,c=0.35,240,4.00000000,100000.00000000,0.0677844506,0.0661769137,0.0019522782,0.0016423980,0.0018442729,-0.0000000076
damping,c=0.35,480,8.00000000,100000.00000000,0.1288948256,0.1272723228,0.0019210954,0.0017998337,0.0018442729,-0.0000000076
damping,c=0.35,600,10.00000000,100000.00000000,0.1574590117,0.1558338404,0.0019033857,0.0018801494,0.0018801494,-0.0000000076
damping,c=3.5,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
damping,c=3.5,30,0.50000000,100000.00000000,0.0090683182,0.0074797263,0.0019823902,0.0015556955,0.0018441840,-0.0000000076
damping,c=3.5,60,1.00000000,100000.00000000,0.0177667901,0.0161817465,0.0019694560,0.0015556869,0.0018441840,-0.0000000076
damping,c=3.5,120,2.00000000,100000.00000000,0.0348138477,0.0332193822,0.0019651505,0.0015789183,0.0018441840,-0.0000000076
damping,c=3.5,240,4.00000000,100000.00000000,0.0675763854,0.0659674555,0.0019537532,0.0016424814,0.0018441840,-0.0000000076
damping,c=3.5,480,8.00000000,100000.00000000,0.1284681229,0.1268437058,0.0019233922,0.0017997309,0.0018441840,-0.0000000076
damping,c=3.5,600,10.00000000,100000.00000000,0.1569202967,0.1552928835,0.0019061902,0.0018798847,0.0018798847,-0.0000000076
modal_mass,m=0.006,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
modal_mass,m=0.006,30,0.50000000,100000.00000000,0.0090952506,0.0075086141,0.0019803720,0.0015546499,0.0018442194,-0.0000000076
modal_mass,m=0.006,60,1.00000000,100000.00000000,0.0178344420,0.0162527766,0.0019656324,0.0015533515,0.0018442194,-0.0000000076
modal_mass,m=0.006,120,2.00000000,100000.00000000,0.0349959998,0.0334076770,0.0019577919,0.0015741920,0.0018442194,-0.0000000076
modal_mass,m=0.006,240,4.00000000,100000.00000000,0.0681141493,0.0665166974,0.0019394782,0.0016337021,0.0018442194,-0.0000000076
modal_mass,m=0.006,480,8.00000000,100000.00000000,0.1301695043,0.1285664588,0.0018960468,0.0017864264,0.0018442194,-0.0000000076
modal_mass,m=0.006,600,10.00000000,100000.00000000,0.1593999691,0.1577986181,0.0018726350,0.0018655761,0.0018655761,-0.0000000076
modal_mass,m=0.09,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
modal_mass,m=0.09,30,0.50000000,100000.00000000,0.0090911636,0.0075034378,0.0019817310,0.0015557520,0.0018442729,-0.0000000076
modal_mass,m=0.09,60,1.00000000,100000.00000000,0.0178160042,0.0162318628,0.0019687174,0.0015556812,0.0018442729,-0.0000000076
modal_mass,m=0.09,120,2.00000000,100000.00000000,0.0349158153,0.0333223715,0.0019642354,0.0015789214,0.0018442729,-0.0000000076
modal_mass,m=0.09,240,4.00000000,100000.00000000,0.0677844506,0.0661769137,0.0019522782,0.0016423980,0.0018442729,-0.0000000076
modal_mass,m=0.09,480,8.00000000,100000.00000000,0.1288948256,0.1272723228,0.0019210954,0.0017998337,0.0018442729,-0.0000000076
modal_mass,m=0.09,600,10.00000000,100000.00000000,0.1574590117,0.1558338404,0.0019033857,0.0018801494,0.0018801494,-0.0000000076
modal_mass,m=0.9,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
modal_mass,m=0.9,30,0.50000000,100000.00000000,0.0090881281,0.0075002317,0.0019820023,0.0015559866,0.0018446219,-0.0000000076
modal_mass,m=0.9,60,1.00000000,100000.00000000,0.0178220706,0.0162375681,0.0019692197,0.0015561278,0.0018446219,-0.0000000076
modal_mass,m=0.9,120,2.00000000,100000.00000000,0.0349332052,0.0333389789,0.0019652522,0.0015798084,0.0018446219,-0.0000000076
modal_mass,m=0.9,240,4.00000000,100000.00000000,0.0678013818,0.0661920235,0.0019545383,0.0016441408,0.0018446219,-0.0000000076
modal_mass,m=0.9,480,8.00000000,100000.00000000,0.1288281421,0.1272023320,0.0019252641,0.0018025931,0.0018446219,-0.0000000076
modal_mass,m=0.9,600,10.00000000,100000.00000000,0.1573163967,0.1556871235,0.0019085784,0.0018832323,0.0018832323,-0.0000000076
