experiment,label,frame,time_s,joint_linear_ke,bend_m,q1_m,q2_m,current_residual_m,max_residual_m,drive_stroke_m
iterations_adaptive,18 iterations,480,8.00000000,3000000.00000000,0.1075431777,0.1057924852,0.0020171520,0.0010805755,0.0018880476,-0.0000000076
iterations_adaptive,24 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,24 iterations,30,0.50000000,3000000.00000000,0.0083380059,0.0066711060,0.0020736970,0.0010355068,0.0016888402,-0.0000000076
iterations_adaptive,24 iterations,60,1.00000000,3000000.00000000,0.0164153042,0.0147583848,0.0020459229,0.0008914341,0.0016888402,-0.0000000076
iterations_adaptive,24 iterations,120,2.00000000,3000000.00000000,0.0322694217,0.0306078661,0.0020227206,0.0008276555,0.0016888402,-0.0000000076
iterations_adaptive,24 iterations,240,4.00000000,3000000.00000000,0.0625076584,0.0608348660,0.0019825625,0.0008608903,0.0016888402,-0.0000000076
iterations_adaptive,24 iterations,480,8.00000000,3000000.00000000,0.1171825360,0.1155005768,0.0018874195,0.0010094818,0.0016888402,-0.0000000076
iterations_adaptive,36 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,36 iterations,30,0.50000000,3000000.00000000,0.0089139711,0.0073125232,0.0019887513,0.0008736031,0.0015002521,-0.0000000076
iterations_adaptive,36 iterations,60,1.00000000,3000000.00000000,0.0174468679,0.0158409309,0.0019754192,0.0007456101,0.0015002521,-0.0000000076
iterations_adaptive,36 iterations,120,2.00000000,3000000.00000000,0.0339916509,0.0323699974,0.0019589753,0.0006979012,0.0015002521,-0.0000000076
iterations_adaptive,36 iterations,240,4.00000000,3000000.00000000,0.0650517339,0.0634080842,0.0019174259,0.0007485772,0.0015002521,-0.0000000076
iterations_adaptive,36 iterations,480,8.00000000,3000000.00000000,0.1158425629,0.1141844913,0.0018031463,0.0009031941,0.0015002521,-0.0000000076
iterations_adaptive,48 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,48 iterations,30,0.50000000,3000000.00000000,0.0089845380,0.0073899194,0.0019773741,0.0007799552,0.0014047928,-0.0000000076
iterations_adaptive,48 iterations,60,1.00000000,3000000.00000000,0.0175287442,0.0159238093,0.0019687363,0.0006616729,0.0014047928,-0.0000000076
iterations_adaptive,48 iterations,120,2.00000000,3000000.00000000,0.0339331154,0.0323081911,0.0019525364,0.0006227761,0.0014047928,-0.0000000076
iterations_adaptive,48 iterations,240,4.00000000,3000000.00000000,0.0629920325,0.0613446496,0.0019037556,0.0006754060,0.0014047928,-0.0000000076
iterations_adaptive,48 iterations,480,8.00000000,3000000.00000000,0.1084337402,0.1067720130,0.0017780481,0.0008204233,0.0014047928,-0.0000000076
